,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number,x,y,Model strike,Model dip
38,20.0,5.0,17.5,261.976,86.07,-1.505,3.065,19.359653949773023,-79.0417378627927,39,-20.0,-5.0,77.0,90.0
39,20.0,5.0,17.5,257.468,83.47399999999999,-1.726,2.1790000000000003,19.4006549873975,-78.85576407174216,40,0.0,-5.0,77.0,90.0
40,20.0,5.0,17.5,234.77599999999998,75.296,0.831,0.955,19.441655025157498,-78.66979033909145,41,20.0,-5.0,77.0,90.0
41,20.0,5.0,17.5,120.684,84.088,169.985,1.079,19.481656062128728,-78.48480809640512,42,40.0,-5.0,77.0,90.0
42,20.0,5.0,17.5,104.463,85.238,176.456,1.6569999999999998,19.522654100155684,-78.29883447930801,43,60.0,-5.0,77.0,90.0
43,20.0,5.0,17.5,101.47399999999999,86.86200000000001,177.31,1.808,19.56365513832112,-78.11285392309287,44,80.0,-5.0,77.0,90.0
44,20.0,5.0,17.5,95.83,86.796,177.64,1.743,19.6036561756862,-77.9268798521842,45,100.0,-5.0,77.0,90.0
45,20.0,5.0,17.5,99.08200000000001,86.87,178.46,1.073,19.644656214117976,-77.7419054125007,46,120.0,-5.0,77.0,90.0
46,20.0,5.0,12.5,75.71300000000001,89.698,1.101,2.7889999999999997,18.74965440629984,-81.82740348766757,47,-320.0,0.0,77.0,90.0
47,20.0,5.0,12.5,76.848,89.338,1.429,3.7569999999999997,18.790655441863336,-81.64142882728376,48,-300.0,0.0,77.0,90.0
48,20.0,5.0,12.5,77.969,88.743,0.708,4.294,18.83065447669295,-81.45544567681749,49,-280.0,0.0,77.0,90.0
49,20.0,5.0,12.5,79.142,89.214,0.406,4.288,18.871654512532523,-81.27047013047364,50,-260.0,0.0,77.0,90.0
50,20.0,5.0,12.5,79.557,89.235,1.15,3.9219999999999997,18.91265554851281,-81.08448864277743,51,-240.0,0.0,77.0,90.0
51,20.0,5.0,12.5,80.503,89.068,0.8059999999999999,3.778,18.952654583748256,-80.89851366096717,52,-220.0,0.0,77.0,90.0
52,20.0,5.0,12.5,79.12899999999999,88.633,-0.514,3.165,18.993654620003078,-80.71253928769394,53,-200.0,0.0,77.0,90.0
53,20.0,5.0,12.5,80.142,88.869,-0.698,3.47,19.034654656396967,-80.52755697271552,54,-180.0,0.0,77.0,90.0
54,20.0,5.0,12.5,82.014,88.635,-0.945,4.391,19.075655692930514,-80.34158271665387,55,-160.0,0.0,77.0,90.0
55,20.0,5.0,12.5,82.833,89.274,-0.86,3.8480000000000003,19.115654728704715,-80.15560796107208,56,-140.0,0.0,77.0,90.0
56,20.0,5.0,12.5,84.846,89.985,-0.785,5.308,19.156654765510787,-79.9696258199508,57,-120.0,0.0,77.0,90.0
57,20.0,5.0,12.5,264.49,89.76,0.59,5.257999999999999,19.19765480245486,-79.78465073739027,58,-100.0,0.0,77.0,90.0
58,20.0,5.0,12.5,263.608,89.431,-0.257,5.684,19.23765383862972,-79.59866915180686,59,-80.0,0.0,77.0,90.0
59,20.0,5.0,12.5,262.053,88.454,-0.069,5.757999999999999,19.278654875846588,-79.41269518569898,60,-60.0,0.0,77.0,90.0
60,20.0,5.0,12.5,261.957,87.382,-0.909,5.229,19.319654913199784,-79.22672127779204,61,-40.0,0.0,77.0,90.0
61,20.0,5.0,12.5,261.945,86.115,-1.4869999999999999,4.183,19.359653949773023,-79.0417378627927,62,-20.0,0.0,77.0,90.0
62,20.0,5.0,12.5,257.305,83.38600000000001,-1.805,2.8939999999999997,19.4006549873975,-78.85576407174216,63,0.0,0.0,77.0,90.0
63,20.0,5.0,12.5,234.637,75.036,1.268,1.3119999999999998,19.441655025157498,-78.66979033909145,64,20.0,0.0,77.0,90.0
64,20.0,5.0,12.5,117.09100000000001,83.65299999999999,170.959,1.5230000000000001,19.481656062128728,-78.48480809640512,65,40.0,0.0,77.0,90.0
65,20.0,5.0,12.5,104.184,85.315,176.63400000000001,2.314,19.522654100155684,-78.29883447930801,66,60.0,0.0,77.0,90.0
66,20.0,5.0,12.5,100.542,87.039,177.602,2.6430000000000002,19.56365513832112,-78.11285392309287,67,80.0,0.0,77.0,90.0
67,20.0,5.0,12.5,95.69200000000001,86.78200000000001,177.77200000000002,2.4090000000000003,19.6036561756862,-77.9268798521842,68,100.0,0.0,77.0,90.0
68,20.0,5.0,12.5,97.895,86.969,178.30700000000002,1.579,19.644656214117976,-77.7419054125007,69,120.0,0.0,77.0,90.0
69,20.0,5.0,7.5,75.572,89.693,1.126,3.154,18.74965440629984,-81.82740348766757,70,-320.0,5.0,77.0,90.0
70,20.0,5.0,7.5,76.833,89.33200000000001,1.419,4.377,18.790655441863336,-81.64142882728376,71,-300.0,5.0,77.0,90.0
71,20.0,5.0,7.5,78.048,88.705,0.772,5.107,18.83065447669295,-81.45544567681749,72,-280.0,5.0,77.0,90.0
72,20.0,5.0,7.5,78.77199999999999,89.131,0.44,4.948,18.871654512532523,-81.27047013047364,73,-260.0,5.0,77.0,90.0
73,20.0,5.0,7.5,79.616,89.21600000000001,1.13,4.603,18.91265554851281,-81.08448864277743,74,-240.0,5.0,77.0,90.0
74,20.0,5.0,7.5,80.419,89.042,0.748,4.523,18.952654583748256,-80.89851366096717,75,-220.0,5.0,77.0,90.0
75,20.0,5.0,7.5,79.079,88.72,-0.488,3.799,18.993654620003078,-80.71253928769394,76,-200.0,5.0,77.0,90.0
76,20.0,5.0,7.5,80.342,88.948,-0.764,4.126,19.034654656396967,-80.52755697271552,77,-180.0,5.0,77.0,90.0
77,20.0,5.0,7.5,82.133,88.603,-0.846,5.2170000000000005,19.075655692930514,-80.34158271665387,78,-160.0,5.0,77.0,90.0
78,20.0,5.0,7.5,82.70200000000001,89.32799999999999,-0.865,4.67,19.115654728704715,-80.15560796107208,79,-140.0,5.0,77.0,90.0
79,20.0,5.0,7.5,265.024,89.994,0.73,6.301,19.156654765510787,-79.9696258199508,80,-120.0,5.0,77.0,90.0
80,20.0,5.0,7.5,264.493,89.74700000000001,0.588,6.307,19.19765480245486,-79.78465073739027,81,-100.0,5.0,77.0,90.0
81,20.0,5.0,7.5,263.52299999999997,89.404,-0.316,6.707000000000001,19.23765383862972,-79.59866915180686,82,-80.0,5.0,77.0,90.0
82,20.0,5.0,7.5,262.225,88.447,-0.122,6.756,19.278654875846588,-79.41269518569898,83,-60.0,5.0,77.0,90.0
83,20.0,5.0,7.5,262.089,87.397,-0.875,6.2170000000000005,19.319654913199784,-79.22672127779204,84,-40.0,5.0,77.0,90.0
84,20.0,5.0,7.5,262.001,86.171,-1.472,4.965,19.359653949773023,-79.0417378627927,85,-20.0,5.0,77.0,90.0
85,20.0,5.0,7.5,257.245,83.238,-1.8869999999999998,3.3160000000000003,19.4006549873975,-78.85576407174216,86,0.0,5.0,77.0,90.0
